			time	P1	Y1	R1	P2	Y2	R2	P3	Y3	R3	P4	Y4	R4	P5	Y5	R5	Xpos	Ypos	Zpos	Xangle	Yangle	Zangle	Xled	Yled	Zled	fingers	goalIter	goalNum	goalSlot	OccupiedSlot	AgainstBorder	VelX	VelY	VelZ	VelXang	VelYang	VelZAng	grasp	fingers
0	0.0016602	0.0521761	0.400102	0.00129876	0.00167227	0.00452208	0.00252187	0.000450196	-0.00574349	0.000959485	0.00170209	0.000839371	0.00129711	0.00144884	-0.00966471	0.0310857	-0.0208446	-0.00797096	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.410102	0.00129876	0.00167227	0.00452208	0.00256188	0.000595422	-0.00560814	0.000959485	0.00170209	0.000839371	0.00131145	0.00137006	-0.00986803	0.0310857	-0.0208446	-0.00797096	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.420103	0.000981766	0.00175353	0.00489001	0.00256188	0.000595422	-0.00560814	0.000959485	0.00170209	0.000839371	0.00133776	0.001314	-0.0100184	0.0310857	-0.0208446	-0.00797096	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.430096	0.000981766	0.00175353	0.00489001	0.00256188	0.000595422	-0.00560814	0.00114729	0.00163186	0.00103076	0.00133776	0.001314	-0.0100184	0.03303	-0.0225987	-0.00841967	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.440106	0.000981766	0.00175353	0.00489001	0.00258286	0.000591439	-0.00564695	0.00114729	0.00163186	0.00103076	0.00133776	0.001314	-0.0100184	0.0333325	-0.0230392	-0.00851257	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.450088	0.000981766	0.00175353	0.00489001	0.0028315	0.000681201	-0.00541594	0.00117719	0.00154408	0.00116174	0.00165328	0.00104304	-0.010479	0.0338122	-0.0233285	-0.00850554	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.460093	0.000981766	0.00175353	0.00489001	0.00282416	0.000735894	-0.00536338	0.00104167	0.0015113	0.00115882	0.00156953	0.0010352	-0.0105971	0.0338122	-0.0233285	-0.00850554	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.470097	0.000981766	0.00175353	0.00489001	0.00282416	0.000735894	-0.00536338	0.00115984	0.00149721	0.00117579	0.0014492	0.00106325	-0.0107497	0.0348891	-0.0238483	-0.0087461	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.480098	0.000981766	0.00175353	0.00489001	0.00266762	0.000825225	-0.00539939	0.00115984	0.00149721	0.00117579	0.0014492	0.00106325	-0.0107497	0.0354027	-0.0241186	-0.00894039	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.4901	0.00109972	0.00175545	0.0054428	0.00266762	0.000825225	-0.00539939	0.00122583	0.00147924	0.00121545	0.00121929	0.00113704	-0.0111231	0.0359092	-0.0244315	-0.0091412	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.5001	0.000978639	0.0017947	0.00538226	0.00258872	0.000903755	-0.00542574	0.00122583	0.00147924	0.00121545	0.00121929	0.00113704	-0.0111231	0.0359092	-0.0244315	-0.0091412	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.510105	0.000961652	0.0018269	0.00537314	0.00258872	0.000903755	-0.00542574	0.00114335	0.00161554	0.00123802	0.00106174	0.00120983	-0.0114702	0.0359092	-0.0244315	-0.0091412	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.520122	0.00101155	0.00182627	0.00538723	0.00255736	0.000936149	-0.00545867	0.00114335	0.00161554	0.00123802	0.00099953	0.00125381	-0.0116385	0.0359092	-0.0244315	-0.0091412	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.530087	0.00101155	0.00182627	0.00538723	0.00255736	0.000936149	-0.00545867	0.00119274	0.00166061	0.00122907	0.000966307	0.00130283	-0.0118009	0.0360179	-0.0246998	-0.00945308	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.54011	0.00101155	0.00182627	0.00538723	0.00249245	0.00103347	-0.00551252	0.00119349	0.00168568	0.00127704	0.000997648	0.0013788	-0.0120124	0.0360179	-0.0246998	-0.00945308	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.550085	0.00101155	0.00182627	0.00538723	0.00249245	0.00103347	-0.00551252	0.00122379	0.00169355	0.0013449	0.0010121	0.00143072	-0.0121757	0.0359417	-0.0252658	-0.00954886	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.560087	0.000841647	0.00187902	0.00568515	0.00242514	0.0011207	-0.005373	0.00122379	0.00169355	0.0013449	0.00103329	0.00146611	-0.0123256	0.0359417	-0.0252658	-0.00954886	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
